"recno";"numfor";"razsoc";"fantasia";"endfor";"telfor1";"telfor2";"faxfor";"baifor";"cidfor";"estfor";"cepfor";"cgcfor";"iefor";"repres";"endrep";"telrep1";"telrep2";"faxrep";"cidrep";"estrep";"ceprep";"cgcrep";"ierep";"datae";"usuario";"email";"mexeu";"bairep"
"284";"286";"EVALDO AUTO PECAS                                 ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"00.010.205/0030-12";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/02/2013";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"283";"285";"RADAR AUTO IMPORTS LTDA-ME                        ";"RADAR                                             ";"AV.PRESIDENTE KENEDY N§ 1511A                     ";"(081)-3053-1712  ";"                 ";"            ";"PEIXINHOS           ";"OLINDA                 ";"PE";"53260-640";"14.991.849/0001-89";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/02/2013";"1-MARCELO ";"[081]3426-4670            ";"Ninguem   ";"                    "
"282";"284";"BRADESCO SEGURO SAUDE PLANO                       ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"12.364.102/3001-69";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"20/02/2013";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"281";"283";"MALHA‡ÆO CONFEC‡äES LTDA.                         ";"SOL E MAR                                         ";"RUA GENTIL FERREIRA GUSMÆO                        ";"(081)-34932884   ";"(081)-8791611    ";"            ";"VILA POOPULAR       ";"OLINDA                 ";"PE";"         ";"04.925.825/0001-78";"049771-1          ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"13/02/2013";"1-ELZA    ";"34932884                  ";"Ninguem   ";"                    "
"280";"282";"ESCOLA GERA€ÇO ATUAL LTDA                         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"03.857.185/0001-19";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"05/02/2013";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"279";"281";"EMPRESTIMOS BCO BB (CAPITAL)                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"28.1  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"22/01/2013";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"278";"280";"BRAVO CAMRCIO DE PNEU LTDA-ME                    ";"BRAVO                                             ";"AV. DOUTOR BELMIRO CORREIA 386                    ";"                 ";"                 ";"            ";"NAZAR              ";"CAMARAGIBE             ";"PE";"54753-000";"16.995.376/0001-13";"050383167         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/01/2013";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"277";"279";"A.B. VILELA SILVA                                 ";"AUTOBATE                                          ";"RUA ARISTIDE LOBO N§ 61                           ";"(081)-3339-5757  ";"                 ";"            ";"IPSEP               ";"RECIFE                 ";"PE";"51350-430";"04.707.711/0001-51";"028659805         ";"FLAVIO                                            ";"                                                  ";"9831-2526        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"13/12/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"276";"278";"SO VEDACOES LTDA                                  ";"SO VEDACOES                                       ";"R.MARQUES DO HERVAL N§ 199                        ";"(081)-3419-1555  ";"(081)-3419-1558  ";"            ";"SANTO ANTONIO       ";"RECIFE                 ";"PE";"50020-030";"41.106.907/0001-17";"0187974-07        ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/11/2012";"1-MARCELO ";"[081] 3419-1550           ";"Ninguem   ";"                    "
"275";"277";"MW JUNTAS COMERCIO POR ATACADO DE PECAS           ";"JAMEF                                             ";"R CECIL SALGADO 228                               ";"(085)-32821583   ";"                 ";"            ";"JARDIM GUANABARA    ";"FORTALEZA              ";"CE";"60346-200";"03.208.617/0001-95";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"14/11/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"274";"276";"CELIO COMERCIO E REPRESENTA€ÇO                    ";"CELIO COMERCIO                                    ";"RUA CLUCILANDIA                                   ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50830-460";"10.955.766/0001-83";"038221683         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/11/2012";"1-ELZA    ";"34813717                  ";"Ninguem   ";"                    "
"273";"275";"MIRAGE INDUSTRIA E COMERCIO DE AROMATIZANTES LTDA ";"MIRAGE AROMATIZANTES                              ";"AV.GOV.CARLOS DE LIMA CAVALCANTE N§5040 SALA 02   ";"(081)-3432-5100  ";"                 ";"            ";"RIO DOCE            ";"OLINDA                 ";"PE";"53040-000";"09.370.185/0002-15";"036257702         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/10/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"272";"274";"TIM SEM FRONTEIRA                                 ";"TIM CELULAR                                       ";"AV.AYRTON SENNA DA SILVA                          ";"                 ";"                 ";"            ";"JABOATÇO DOS GUARARA";"RECIFE                 ";"P ";"         ";"04.206.050/0082-46";"032049870         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/09/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"271";"273";"SCAPEX INDUSTRIA E COMEER                         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"03.409.583/0001-05";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"26/09/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"270";"272";"NORDESTE TRANSPORTES & LUBRIFICANTES ESPECIAIS    ";"NORDESTE LUBRIFICANTE                             ";"RUA RIO TEJIPIO N§ 53                             ";"(081)-3341-1414  ";"                 ";"            ";"CORDEIRO            ";"RECIFE                 ";"PE";"50721-640";"06.376.734/0001-56";"032620497         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"25/09/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"269";"271";"RAU PNEU                                          ";"                                                  ";"                                                  ";"(081)-9242-3133  ";"(081)-3342-2850  ";"            ";"                    ";"                       ";"  ";"         ";"00.001.007/0001-00";"                  ";"RAU                                               ";"                                                  ";"9974-1570        ";"9242-3133        ";"9294-0440   ";"                       ";"  ";"         ";"                  ";"                  ";"08/09/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"268";"270";"PETROBRAS(CARTOES)                                ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"27.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"05/09/2012";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"267";"269";"TUPER DISTRIBUIDORA AUTOPECAS/A-RECIFE-PE         ";"TUPER                                             ";"R GENERAL GOES MONTEIRO 912 GLP0                  ";"(081)-8007045655 ";"(081)-3497-2156  ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51170-560";"11.350.362/0002-00";"043681697         ";"LIDIO                                             ";"                                                  ";"9651-2695        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"24/08/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"266";"268";"SUN SIMON COM IMP EXP P P AUTOM LTDA              ";"AUTOSTAR                                          ";"RUA ENG ARMANDO DE ARRUDA PEREIRA N657            ";"(011)-39965202   ";"                 ";"            ";"SAO CAETANO SUL     ";"                       ";"SP";"09581-170";"10.222.857/0001-00";"636307973112      ";"TORRES                                            ";"                                                  ";"                 ";"                 ";"            ";"OLINDA                 ";"PE";"         ";"                  ";"                  ";"21/08/2012";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"265";"267";"GRANVIA VEICULOS LTDA                             ";"GRANVIA FORD                                      ";"MARECHAL MASCARENHAS DE MORAIS ATE 16 N§841 COMP. ";"(081)-3015-7000  ";"                 ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51150-000";"12.946.886/0001-40";"042402190         ";"MOACIR                                            ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/08/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"264";"266";"DIAS DISTRIBUIDORA DE PECAS AUTOMOTIVA LTDA ME    ";"DIAS DISTRIBUIDORA                                ";"RUA DE APIPUCOS                                   ";"(081)-3267-5000  ";"                 ";"            ";"APIPUCOS            ";"RECIFE                 ";"PE";"52071-000";"13.334.700/0001-34";"043608850         ";"MOACIR OU FRANCISCO                               ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/08/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"263";"265";"TAMBAI AUTOMOTORES LTDA.                          ";"TAMBAI                                            ";"AV.MARECHAL MASCARENHAS DE MORAES N§3334          ";"(081)-3797-8239  ";"(081)-3797-8200  ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51170-000";"04.264.393/0001-00";"18.1.001.0278896-4";"PABLO                                             ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"21/06/2012";"1-MARCELO ";"{081} 3797-8200           ";"Ninguem   ";"                    "
"262";"264";"CHEQUES DIVERSOS                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"26.4  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/06/2012";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"261";"263";"SERVCAR REBOQUE                                   ";"SERVCAR                                           ";"AVENIDA NORTE                                     ";"(081)-34266864   ";"(081)-87386147   ";"            ";"ENCRUZILHADA        ";"RECIFE                 ";"PE";"         ";"12.635.165/0009-32";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/04/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"260";"262";"SERVCAR REBOQUE                                   ";"REBOQUE                                           ";"AV.NORTE                                          ";"(968)-64464      ";"(81 )-34266864   ";"            ";"TORREÇO             ";"RECIFE                 ";"PE";"         ";"13.456.156/0006-66";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/04/2012";"1-ELZA    ";"34266864/87386147         ";"Ninguem   ";"                    "
"259";"261";"                                                  ";"SERVCAR REBOQUE                                   ";"AV NORTE                                          ";"                 ";"                 ";"            ";"TORREÆO             ";"RECIFE                 ";"PE";"         ";"12.650.632/0006-13";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/04/2012";"1-ELZA    ";"3426-6864 87386147        ";"Ninguem   ";"                    "
"258";"260";"FARDAMENTO                                        ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"12.365.852/0001-66";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"24/04/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"257";"259";"JORGE W DE ANDRADE SILVA ME                       ";"LIG AR PECAS DE AR PARA AUTOS                     ";"AV JORNALISTA EDSON REGIS N§ 1017B                ";"(081)-3338-9447  ";"(081)-3471-9885  ";"            ";"                    ";"                       ";"  ";"         ";"12.829.757/0001-71";"                  ";"CELIO                                             ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/04/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"256";"258";"DVA DISTRIBUIDORA DE VIDROS AUTOMOTIVO LTDA       ";"D V A                                             ";"RODOVIA PE- 001,2001                              ";"                 ";"                 ";"            ";"PEIXINHOS           ";"OLINDA                 ";"PE";"53010-580";"14.157.520/0001-7 ";"045475008         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/04/2012";"1-ELZA    ";"34395784                  ";"Ninguem   ";"                    "
"255";"257";"TRIM COM. E SERVI‡OS LTDA-ME                      ";"TRIM                                              ";"RUA NICOLAU PEREIRA 456                           ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50750-010";"00.863.716/0001-12";"0217459-60        ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"09/04/2012";"1-ELZA    ";"34471777                  ";"Ninguem   ";"                    "
"254";"256";"FLEX CAR AUTO PE€AS                               ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"00.125.145/0001-26";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/04/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"253";"255";"SINDICATO DOS EMPREGADOS COMER. SERV              ";"SINDICATO DOS TRABALHADORES                       ";"AV.SIGISMUNDO GONCALVES 724 C                     ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"41.034.729/0001-66";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/03/2012";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"252";"254";"SERVETEC                                          ";"JOS‚ EDSON MANDU DA SILVA                         ";"RUA COSME VIANA 766                               ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50830-150";"70.964.793/415 -  ";"3409732           ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"15/03/2012";"1-ELZA    ";"34288224                  ";"Ninguem   ";"                    "
"251";"253";"IPTU -PREFEITURA RECIFE/OLINDA                    ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"25.3  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/01/2012";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"250";"252";"PISCALERTA COMERCIO LTDA                          ";"PISCALERTA                                        ";"RUA DR JOAQUIM ARRUDA FALC¶O 251                  ";"                 ";"                 ";"            ";"ESPINHEIRO          ";"RECIFE                 ";"PE";"52021-070";"03.333.018/0001-01";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"25/01/2012";"1-ELZA    ";"34260925                  ";"Ninguem   ";"                    "
"249";"251";"NOVE NORDESTE VEICULOS LTDA                       ";"NOVE VEICULO                                      ";"VA.ML.MASC.DE MORAES N§1776 LOJ03                 ";"(081)-3339-0909  ";"                 ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51170-000";"11.112.318/0001-80";"038478374         ";"EVERALDO                                          ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/01/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"248";"250";"NORTE SUL PARTS                                   ";"NORTE SUL                                         ";"RUA TRES N§ 105                                   ";"(081)-3361-4722  ";"                 ";"            ";"                    ";"JABOATÇO DOS GUARARAPES";"PE";"         ";"10.295.021/0001-35";"955498-0          ";"PAULO                                             ";"                                                  ";"3474-6615        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/01/2012";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"247";"249";"SMARTCRED SECURITIZADORA DE CREDITOS S/A          ";"INTEGRA€AO DE TRASPORTE                           ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"08.133.373/0002-23";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"28/12/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"246";"248";"ANTONIO G CATALÇO C.C.P€ AUT ME                   ";"MULTPOINT                                         ";"RUA SÇO PAULO N§473                               ";"                 ";"                 ";"            ";"JD.PLANALTO         ";"REGISTRO               ";"SP";"11900-000";"10.906.277/0001-31";"574.112.749.115   ";"TORRES                                            ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"20/12/2011";"1-MARCELO ";"(13)3822-2737             ";"Ninguem   ";"                    "
"245";"247";"BANCO CITICARD SA (CREDCARD)                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"24.7  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/12/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"244";"246";"CERTIFICADO DIGITAL CERTISIGN S/A                 ";"CERTIFICADO DIGITAL                               ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"01.554.285/0001-75";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"09/11/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"243";"245";"MARCOS DANILO VIELA SILVA ME                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"05.764.666/0001-30";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"04/11/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"242";"244";"RIVOLI VEICULOS LTDA AFO                          ";"RIVOLI                                            ";"ESTRADA DOS REMEDIOS N¦ 1397                      ";"(081)-3302-8963  ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50750-000";"24.355.547/0013-01";"033765839         ";"DANIEL                                            ";"                                                  ";"3302-8963        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"07/10/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"241";"243";"GRAFICA                                           ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"24.4  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/09/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"240";"242";"LIDER AUTO PECAS                                  ";"FABIO AUTO PECAS                                  ";"AV JOSE DO REGO MARANHAO                          ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"01.003.004/0001-00";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/09/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"239";"241";"EUROVIA AUT E UTILIT S/A- AFOGADOS FILIAL         ";"NISSAN                                            ";"ESTRADA DOS REMEDIOS N§1780                       ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50750-000";"04.109.834/0006-03";"037940325         ";"SANDRO                                            ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"24/09/2011";"1-MARCELO ";"[081]3202-9000            ";"Ninguem   ";"                    "
"238";"240";"REAL NET AUGUSTO GOMES DE OLIVEIRA FIMACAL        ";"REAL NET                                          ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"02.091.220/0001-01";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/09/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"237";"239";"VENTURA&ORIN GESTAO EMPRES SA                     ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"13.622.872/0001-33";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/09/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"236";"238";"L&L PECAS E ACESSORIOS AUTOMOTIVOS LTDA           ";"DIGISAT TECNOLOGIA                                ";"AV.ENGENHEIRO ABDIAS DE CARVALHO                  ";"(081)-3454-9261  ";"(081)-3454-5655  ";"            ";"                    ";"RECIFE                 ";"PE";"         ";"10.271.240/0001-84";"03478013          ";"ALCIDES                                           ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"05/09/2011";"1-MARCELO ";"[081]3454-5655            ";"Ninguem   ";"                    "
"235";"237";"DPA DISTRIBUIDORA DE PECAS LTDA                   ";"DPA DISTRIB                                       ";"RUA VINTE E UM DE ABRIL                           ";"(081)-3974-5300  ";"                 ";"            ";"MANGUEIRA           ";"RECIFE                 ";"PE";"50820-000";"07.370.834/0001-38";"032653905         ";"MARCIA                                            ";"                                                  ";"92453032         ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/09/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"234";"236";"TECPNEUS DISTRIBUIDORA E COMERCIO LTDA            ";"TECPNEUS                                          ";"AV DR.JOSE RUFINO N§2591 SL 01,02,0,3             ";"(081)-3343-5188  ";"(081)-           ";"            ";"BARRO               ";"RECIFE                 ";"PE";"50780-300";"09.813.872/0001-43";"036766097         ";"TAMIRES                                           ";"                                                  ";"3076-8775        ";"8865-4626        ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/08/2011";"1-MARCELO ";"81]8865-4626              ";"Ninguem   ";"                    "
"233";"235";"CARTÇO VISA ITAUCARD                              ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"01.789.185/0002-3 ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"23/08/2011";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"232";"234";"MAVEL-MAQUINAS E VEICULOS LTDA                    ";"MAVEL                                             ";"RUA ANTONIO LUIZ SOARES N§131                     ";"(081)-3322-8555  ";"(081)-3322-8556  ";"            ";"BOA VIAGEM          ";"RECIFE                 ";"PE";"51210-050";"11.342.912/0015-63";"0385150-83        ";"VICTOR MARQUES                                    ";"                                                  ";"8652-0680        ";"9977-2087        ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/08/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"231";"233";"CAXANGA VEICULOS LTDA                             ";"CAXANGA VEICULOS                                  ";"AV.CAXANGA 4251 S/N                               ";"(081)-2122-2099  ";"(081)-2122-2050  ";"            ";"VARZEA              ";"RECIFE                 ";"PE";"50740-000";"09.924.937/0001-28";"000632740         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/08/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"230";"232";"COMERCIO REPRESENTACOES DE ACESSORIOS JL          ";"                                                  ";"                                                  ";"(0  )-           ";"                 ";"            ";"                    ";"TABIRA                 ";"PE";"         ";"01.007.320/1002-00";"                  ";"JUNIOR                                            ";"                                                  ";"9638-5328        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/07/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"229";"231";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"03.792.513/0001-70";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"26/07/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"228";"230";"VULCAM DISTRIBUIDORA AUTOMOTIVA LTDA              ";"VULCAM DISTRIBUIDORA                              ";"AV.MANOEL GONCALVES DA LUZ N§069                  ";"(081)-3228-6824  ";"                 ";"            ";"BONGI               ";"RECIFE                 ";"PE";"50751-200";"07.852.317/0001-03";"033549893-        ";"VANDERSON                                         ";"                                                  ";"8528-9265        ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"22/07/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"227";"229";"E J DE LIMA                                       ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"07.065.159/0002-13";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"15/07/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
"226";"228";"CARTåA CRED CARD                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"10.102.456/0006-15";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/07/2011";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"225";"227";"PORTO SEGURO                                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"01.222.368/0001-12";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/07/2011";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"224";"226";"GOLDEN CROSS                                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"01.200.156/0001-28";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"04/07/2011";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"223";"225";"POLEGAR COMERCIO E REPRESENTACOES                 ";"ZE CARLO DA REAL MOTO                             ";"                                                  ";"(081)-30510005   ";"(081)-9963-1757  ";"            ";"                    ";"                       ";"  ";"         ";"24.463.713/0001-50";"                  ";"ZE CARLOS                                         ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"04/07/2011";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"222";"224";"AUTO RANGE EJ DE LIMA ME                          ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"32.231.012/0001-10";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"01/07/2011";"1-ELZA    ";"                          ";"Ninguem   ";"                    "
"221";"223";"BV FINANCEIRA (MOTO)                              ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"22.3  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/06/2011";"1-MARCELA ";"                          ";"Ninguem   ";"                    "
